Date,Open,High,Low,Close,Close_Dolar
2022-01-13,105686.0,106251.0,104974.0,105530.0,5.533199787139893
2022-01-14,105530.0,107062.0,105028.0,106928.0,5.526700019836426
2022-01-17,106927.0,106928.0,106097.0,106692.0,5.533299922943115
2022-01-18,106369.0,107013.0,105786.0,106522.0,5.5157999992370605
2022-01-19,106670.0,108602.0,106669.0,108013.0,5.565700054168701
2022-01-20,108015.0,109873.0,108015.0,109102.0,5.43720006942749
2022-01-21,109097.0,109786.0,108368.0,108942.0,5.418099880218506
2022-01-24,108941.0,108948.0,106624.0,107752.0,5.457099914550781
2022-01-25,107935.0,110115.0,107185.0,109845.0,5.486100196838379
2022-01-26,110207.0,112695.0,110204.0,111573.0,5.440703868865967
2022-01-27,111303.0,113057.0,111303.0,112315.0,5.429166793823242
2022-01-28,112611.0,112969.0,111407.0,111478.0,5.40348482131958
2022-01-31,111910.0,112495.0,111195.0,112388.0,5.362599849700928
2022-02-01,112143.0,113302.0,112135.0,113147.0,5.303100109100342
2022-02-02,113228.0,113666.0,111645.0,112161.0,5.264500141143799
2022-02-03,111897.0,112502.0,111225.0,111696.0,5.260900020599365
2022-02-04,111696.0,112415.0,110321.0,112245.0,5.282899856567383
2022-02-07,112247.0,112517.0,111490.0,111996.0,5.326900005340576
2022-02-08,111995.0,112251.0,110943.0,112234.0,5.262599945068359
2022-02-09,112233.0,113163.0,111710.0,112461.0,5.258399963378906
2022-02-10,112462.0,113812.0,112163.0,113359.0,5.234499931335449
2022-02-11,113368.0,114899.0,113128.0,113572.0,5.248700141906738
2022-02-14,113643.0,114167.0,113358.0,113807.0,5.249956130981445
2022-02-15,113905.0,114819.0,113882.0,114660.0,5.214000225067139
2022-02-16,114830.0,115734.0,114816.0,115181.0,5.157899856567383
2022-02-17,115181.0,115214.0,113389.0,113528.0,5.135799884796143
2022-02-18,113534.0,114213.0,112701.0,112768.0,5.170599937438965
2022-02-21,112880.0,113405.0,111608.0,111725.0,5.137499809265137
2022-02-22,111727.0,113315.0,111727.0,112892.0,5.102700233459473
2022-02-23,112892.0,113721.0,111748.0,112008.0,5.05709981918335
2022-02-24,112001.0,112001.0,109125.0,111592.0,5.008699893951416
2022-02-25,111591.0,113142.0,110673.0,113142.0,5.122200012207031
2022-03-02,113143.0,115429.0,113143.0,115174.0,5.158999919891357
2022-03-03,115173.0,115948.0,115010.0,115166.0,5.096502780914307
2022-03-04,115166.0,115166.0,113389.0,114474.0,5.030900001525879
2022-03-07,114469.0,114529.0,111140.0,111593.0,5.06056022644043
2022-03-08,111594.0,112390.0,110969.0,111203.0,5.110499858856201
2022-03-09,111210.0,114051.0,111207.0,113900.0,5.058800220489502
2022-03-10,113900.0,113939.0,111889.0,113663.0,5.011499881744385
2022-03-11,113664.0,114627.0,111332.0,111713.0,5.009699821472168
2022-03-14,111716.0,112299.0,109717.0,109928.0,5.073500156402588
2022-03-15,109925.0,109925.0,107781.0,108959.0,5.121399879455566
2022-03-16,108958.0,111183.0,108958.0,111112.0,5.1631999015808105
2022-03-17,111113.0,113088.0,111070.0,113076.0,5.0738749504089355
2022-03-18,113076.0,115311.0,112475.0,115311.0,5.039400100708008
2022-03-21,115307.0,116360.0,115208.0,116155.0,5.0177998542785645
2022-03-22,116157.0,117541.0,116157.0,117272.0,4.935200214385986
2022-03-23,117270.0,118270.0,117036.0,117457.0,4.909999847412109
2022-03-24,117460.0,119256.0,117151.0,119053.0,4.82420015335083
2022-03-25,119062.0,119729.0,118548.0,119081.0,4.826300144195557
2022-03-28,119082.0,119444.0,118061.0,118738.0,4.7368998527526855
2022-03-29,118740.0,120900.0,118740.0,120014.0,4.764100074768066
2022-03-30,120013.0,120531.0,119775.0,120260.0,4.756199836730957
